"epsilon","zeta","nu_short[1]","nu_short[2]","nu_short[3]","nu_short[4]","nu_short[5]","nu_short[6]","nu_short[7]","nu_short[8]","nu_short[9]","nu_short[10]","inoculum","beta_short[1]","beta_short[2]","beta_short[3]","r","alpha","gamma","x0","k0","x1","k1","x2","k2","x3","k3","x4","k4","u1","u2","u3","u4"
0.0491284,0.768244,0.000428234,0.000278117,0.000466528,0.000823544,0.00114229,0.00156347,0.00298234,0.00559625,0.0120816,0.0371748,0.000121703,0.451451,0.882352,1,54.6775,0.393916,0.245601,29.1694,2.48458,62.8879,1.22267,181.011,0.961076,260.755,2.60396,295.69,1.91812,0.2224,0.430691,0.233357,0.443854
0.0569406,0.84059,0.000272932,0.000282636,0.000460666,0.000940225,0.00128136,0.00164624,0.00307384,0.00627107,0.0136491,0.042252,0.000109726,0.53741,0.940745,1,48.5456,0.3645,0.308985,27.9481,0.801866,65.4569,1.53332,179.209,0.556892,261.083,0.416317,294.408,0.497868,0.19939,0.406089,0.218656,0.463973
0.0517375,0.667704,0.000406343,0.000393431,0.000606192,0.000611868,0.000927697,0.00115718,0.00215149,0.00450077,0.00989916,0.0300011,0.000129627,0.298829,0.985186,1,61.874,0.333481,0.241149,28.1425,1.42077,64.6706,1.32846,181.049,0.349676,259.395,0.51887,299,0.660807,0.19822,0.394803,0.234535,0.464595
0.0598195,0.768985,0.000633093,0.000548138,0.000803075,0.000964814,0.00135884,0.00191969,0.00346203,0.00718066,0.0153758,0.0486763,0.000116421,0.346218,0.93716,1,72.2496,0.304646,0.299559,28.4107,2.78222,64.9072,1.98684,181.914,0.282206,261.05,0.284018,296.059,0.302724,0.209079,0.419397,0.199123,0.450364
0.055162,0.73333,0.000364488,0.000244148,0.000440876,0.000827667,0.0011207,0.00156041,0.00293119,0.00610793,0.0134264,0.0412264,0.000121794,0.527795,0.984058,1,44.0924,0.32399,0.287599,27.3782,0.489834,61.8627,1.50218,176.97,3.20699,261.678,2.87102,297.346,0.269907,0.19888,0.393431,0.225166,0.449252
0.0461009,0.688883,0.000205387,0.000143637,0.000292465,0.000807225,0.00110758,0.00145827,0.00267943,0.00596434,0.0131768,0.0415316,0.000111455,0.7291,0.969026,1,79.6773,0.350217,0.24372,28.2659,0.714745,62.8568,1.44669,181.208,0.411462,259.69,0.511555,299.144,0.656293,0.209579,0.394963,0.226059,0.438628
0.0590406,0.758217,0.000429301,0.000436158,0.000664644,0.00106404,0.00142461,0.00182248,0.00342897,0.00723193,0.015592,0.0488232,8.80502e-05,0.388641,0.953297,1,46.438,0.342885,0.295225,27.7957,0.697051,64.6212,0.577885,177.556,0.576365,261.933,1.98037,296.213,2.43082,0.192469,0.385578,0.200447,0.411179
0.0630849,0.633309,0.000412728,0.000449976,0.000656521,0.00107865,0.00145218,0.00188669,0.00358396,0.00775937,0.0172623,0.0538842,8.62733e-05,0.498092,0.97535,1,64.589,0.254399,0.288971,27.4738,0.473467,64.8734,1.51755,180.069,0.809127,261.039,0.287753,297.331,0.502375,0.176159,0.355806,0.166062,0.394134
0.0492126,0.697439,0.000261444,0.000203252,0.000363421,0.000739835,0.00105035,0.00144594,0.00259196,0.00562606,0.0121429,0.0381905,0.000144607,0.578683,0.981107,1,50.1359,0.305938,0.251919,28.263,1.23288,63.0518,1.46453,177.468,0.688703,263.33,0.297372,293.089,1.65967,0.197804,0.399048,0.194882,0.425307
0.0551333,0.650767,0.000232794,0.000214431,0.000384556,0.000839804,0.00110277,0.00146716,0.00283526,0.00596539,0.0132971,0.0424549,0.000100029,0.587891,0.985547,1,54.5882,0.30903,0.272151,27.6155,0.456305,61.8223,1.64712,179.392,1.73338,262.96,2.92981,294.684,0.337952,0.201235,0.37284,0.196716,0.417377
0.051568,0.6805,0.000267906,0.000235899,0.000359998,0.000775707,0.0011288,0.00146554,0.00278925,0.00605668,0.0131304,0.0408645,0.000144317,0.578226,0.982638,1,65.6847,0.272412,0.260349,28.373,1.52368,63.314,1.46605,176.28,0.957037,261.369,0.276788,296.493,1.01904,0.195685,0.392814,0.199982,0.437242
0.0532025,0.720527,0.000243044,0.000203494,0.000334245,0.00078821,0.00105814,0.00144986,0.00263887,0.00582452,0.0121785,0.0385968,0.000122358,0.570837,0.957737,1,60.6373,0.318182,0.272196,28.3243,1.28916,62.6213,1.21425,178.146,0.904044,262.012,0.277346,298.238,1.15418,0.20159,0.401152,0.219775,0.459033
0.0446693,0.696191,0.000220743,0.000275931,0.000390802,0.000770134,0.00107856,0.00141118,0.00272643,0.00581856,0.0134518,0.0420509,0.000131537,0.535099,0.99521,1,55.3423,0.358143,0.232767,28.1018,0.543581,62.6063,1.42665,179.909,0.989082,260.968,0.268941,295.124,1.28381,0.209117,0.409574,0.206349,0.434184
0.0464111,0.628202,0.000254768,0.000206632,0.000419461,0.000707743,0.000896423,0.00117861,0.00242918,0.00517236,0.0118097,0.0364771,0.00011423,0.536065,0.99752,1,63.1544,0.361802,0.231299,28.4921,0.399251,62.7949,2.35886,180.529,1.18191,262.869,0.277078,295.591,1.4575,0.217167,0.402435,0.217828,0.423314
0.0450918,0.745737,0.000329043,0.000296075,0.00037531,0.000728663,0.0010797,0.00156174,0.00260432,0.0057704,0.012672,0.0408435,0.000123937,0.488604,0.995325,1,54.112,0.38928,0.242537,28.6201,1.72337,61.0532,0.953934,179.724,0.724083,259.562,1.47634,297.251,0.637401,0.211849,0.422517,0.240596,0.449876
0.0452538,0.706935,0.000341899,0.000278478,0.00037122,0.000681228,0.00099099,0.00145158,0.0025028,0.00539649,0.0117988,0.038171,0.000113792,0.552908,0.997047,1,52.2625,0.395069,0.240373,28.7422,1.80703,61.3421,0.962972,179.775,0.551132,260.433,1.30245,297.24,0.999813,0.216349,0.411471,0.235947,0.461489
0.0462013,0.703414,0.000369234,0.000393592,0.00050278,0.000910865,0.00129356,0.00155037,0.00309864,0.00677761,0.015324,0.0479361,0.000134656,0.435757,0.993376,1,41.3119,0.334673,0.241991,28.9353,0.684329,62.496,0.770046,177.113,2.82714,260.321,0.415358,296.893,1.37795,0.221807,0.421524,0.219614,0.443089
0.0484574,0.669914,0.000205251,0.000142029,0.000278082,0.00056587,0.000749151,0.00112159,0.0019418,0.00406746,0.00896103,0.0290541,0.000138229,0.608562,0.987347,1,65.5205,0.333683,0.238605,27.5751,1.14618,64.1464,1.93765,179.25,0.751198,262.23,1.04327,297.065,0.283539,0.190125,0.381017,0.214872,0.460147
0.0457196,0.698423,0.000299846,0.000322485,0.000465912,0.000830938,0.00120135,0.00145207,0.00286428,0.00636497,0.0134326,0.0423757,0.000121972,0.468121,0.983836,1,77.0793,0.342338,0.227115,27.9828,1.11459,65.3941,0.610829,179.913,0.618823,260.387,2.13134,296.716,0.274849,0.194659,0.387929,0.188755,0.389472
0.0572705,0.814103,0.000447633,0.000522812,0.000801935,0.000918322,0.00120557,0.00159062,0.00303433,0.00608283,0.0134927,0.0415092,0.000115684,0.318238,0.997361,1,46.7665,0.336109,0.302521,28.0178,1.20381,64.4152,3.01262,180.221,0.293893,263.427,0.278938,296.468,0.632903,0.19082,0.409538,0.20209,0.487855
0.0475578,0.690687,0.000205461,0.000234232,0.000294007,0.000775187,0.00108303,0.00148074,0.00286462,0.00616582,0.0133394,0.0421742,0.000147462,0.649951,0.969017,1,81.0115,0.304453,0.248576,28.3089,1.18699,62.7096,0.684602,180.846,0.537692,259.536,0.983835,295.287,1.6814,0.212563,0.411068,0.222257,0.405126
0.056461,0.819681,0.000313179,0.000271112,0.000364919,0.00102447,0.0013406,0.00180786,0.00338585,0.0072884,0.0162168,0.0503039,0.000110579,0.674736,0.989929,1,50.6882,0.338002,0.326763,27.4869,0.586841,64.2096,0.661462,179.958,0.396446,259.675,0.78395,301.393,0.882193,0.209926,0.401777,0.253114,0.485973
0.0446808,0.749654,0.000385948,0.000309895,0.000419339,0.000733361,0.000972137,0.00134018,0.00244581,0.00521431,0.0112649,0.0354839,0.000138255,0.455076,0.976954,1,60.3872,0.402696,0.237582,28.8874,3.14499,62.7115,1.7689,178.099,1.8194,261.86,0.390956,296.009,2.50465,0.221155,0.427414,0.235681,0.464123
0.0489606,0.731131,0.000453066,0.000351634,0.000449779,0.000592972,0.000844096,0.00115012,0.00209579,0.00440716,0.00977042,0.0289488,0.000165936,0.360267,0.997199,1,61.1171,0.342808,0.25299,28.7608,0.708293,63.5797,1.42434,179.412,0.829237,261.76,2.3685,296.091,0.631361,0.218637,0.436996,0.260714,0.495277
0.0603449,0.738941,0.000342992,0.00040723,0.000518665,0.000854755,0.00113604,0.00152581,0.0028693,0.0058923,0.0125333,0.039134,0.000127165,0.437251,0.975338,1,53.9213,0.303437,0.306845,28.0999,1.49711,64.0174,1.65569,179.551,1.96239,262.142,0.411174,297.139,1.68421,0.205848,0.404144,0.237113,0.469745
0.0559689,0.767636,0.00037211,0.000393493,0.000479138,0.000921763,0.0012922,0.00171541,0.00319183,0.00666214,0.0145117,0.0452862,0.000118148,0.500863,0.954442,1,45.6762,0.328309,0.29706,28.2207,0.528247,62.6757,1.50115,179.107,1.05646,259.796,1.41037,298.955,0.918189,0.217037,0.414743,0.249709,0.45218
0.0588145,0.763673,0.00040087,0.000237461,0.000505293,0.00100362,0.00135041,0.00191057,0.00345063,0.00721156,0.0159671,0.0494136,0.000116839,0.510122,0.956352,1,56.7193,0.30514,0.313552,28.9126,0.774408,63.7603,2.39915,179.814,1.46384,259.687,1.7729,300.558,0.662227,0.220845,0.422451,0.242319,0.513853
0.0584458,0.801657,0.00022913,0.000221845,0.000407075,0.000806282,0.00112195,0.00143559,0.00280008,0.00589396,0.0126932,0.0403422,0.000134902,0.526141,0.987014,1,52.277,0.320839,0.32717,29.1326,1.91395,63.1383,1.16778,179.068,1.34063,258.081,0.956632,297.246,0.517868,0.221978,0.443699,0.28896,0.529713
0.0549842,0.832308,0.000640512,0.000496046,0.000863287,0.0010526,0.00145361,0.00203517,0.00358652,0.00777838,0.0178266,0.0546312,0.000118334,0.387349,0.994004,1,68.2954,0.340771,0.308272,28.3022,0.561102,63.6788,0.86068,180.155,1.4828,261.794,1.20633,299.89,0.87894,0.215869,0.43036,0.236206,0.491267
0.0570949,0.735426,0.000308367,0.000274118,0.000384699,0.000935862,0.00121293,0.00178413,0.00302726,0.00664847,0.0142255,0.0444624,0.000150371,0.557212,0.94174,1,49.9431,0.27035,0.293562,28.4016,2.65522,62.2364,0.645341,178.029,0.528031,259.759,0.519807,295.127,0.444454,0.202277,0.416687,0.218357,0.432354
0.0577717,0.722831,0.000298411,0.000313389,0.000360637,0.000921223,0.00121539,0.00174287,0.00297017,0.00658153,0.0140837,0.0442211,0.000153392,0.577232,0.93327,1,53.18,0.270313,0.294848,28.2444,2.5277,62.1789,0.724482,178.232,0.543687,259.766,0.58374,295.205,0.412703,0.205407,0.417797,0.223606,0.435036
0.049579,0.849414,0.000267112,0.000265025,0.000348146,0.00090604,0.00129807,0.00168935,0.00314773,0.00713977,0.0160414,0.04975,0.000111235,0.692073,0.998034,1,62.2372,0.380323,0.29958,28.3337,1.05277,65.0281,0.810196,182.65,0.443508,260.298,0.482786,298.438,2.66356,0.220647,0.422801,0.244367,0.486732
0.0485959,0.903798,0.000294534,0.000229467,0.000454306,0.00104493,0.00155741,0.00199529,0.00371623,0.0080887,0.0184806,0.0563425,0.000104175,0.610472,0.993895,1,68.705,0.394072,0.295018,28.5585,2.36029,66.0936,0.873514,183.276,0.702481,257.34,0.422258,297.128,1.33685,0.205543,0.431647,0.230833,0.439531
0.053208,0.788702,0.000329096,0.000305732,0.000452047,0.000907986,0.00113038,0.00157033,0.00300003,0.00630246,0.0142596,0.0450581,0.000101661,0.510308,0.997728,1,47.7211,0.353698,0.288178,28.2925,1.42274,65.9717,1.53047,182.381,0.951403,258.438,0.633146,298.63,0.555978,0.20099,0.402178,0.238064,0.444483
0.0449264,0.799636,0.000183483,0.000157938,0.00027276,0.000714376,0.00103758,0.00143844,0.00252946,0.00597937,0.012551,0.0398939,0.000127513,0.730628,0.998682,1,56.8223,0.394982,0.265356,28.4434,1.06242,62.2196,0.839851,178.363,0.632131,259.579,0.676598,296.167,2.36629,0.214021,0.422886,0.252807,0.472763
0.0534488,0.801247,0.000379652,0.000328003,0.000644185,0.000963367,0.00141253,0.00193386,0.00339264,0.00700783,0.0157232,0.0486308,0.000109568,0.46781,0.965781,1,63.7824,0.351251,0.288018,28.3903,0.949747,63.4868,1.05494,179.279,0.774785,259.112,1.33132,297.983,0.586002,0.206185,0.412715,0.232709,0.444234
0.0476719,0.742671,0.000349989,0.000287163,0.000412737,0.000879406,0.00106841,0.0014989,0.00284619,0.00580982,0.0125406,0.0404936,0.000101092,0.504731,0.9643,1,84.2209,0.396331,0.246072,28.3767,0.795906,63.4612,1.17928,176.974,0.792269,260.082,1.84881,297.653,0.91053,0.199141,0.394596,0.224767,0.42508
0.0553292,0.803162,0.00025201,0.000162502,0.00028343,0.0007521,0.0010686,0.00144983,0.00269985,0.00558645,0.0121938,0.0364547,0.000126889,0.65917,0.954452,1,48.3724,0.339728,0.303434,27.7723,1.76551,65.0082,1.64809,181.095,1.78197,262.56,0.354684,294.536,1.09572,0.204511,0.407725,0.227886,0.478526
0.0523738,0.694145,0.000242276,0.000277013,0.000371662,0.000830912,0.00110129,0.0015255,0.002649,0.00573396,0.0124178,0.0388642,0.000111582,0.522703,0.947832,1,59.047,0.353972,0.264162,28.2876,0.453713,60.9009,1.41499,176.209,0.948324,261.396,1.63414,297.347,1.15727,0.216573,0.399212,0.249198,0.440108
